Age Range, Min,10th,25th,Median,75th,90th,Max, index Range
0 - 1.0,239568.1457,429238.91645,527864.5379250001,726215.6716499999,930796.52465,1025190.324,1220940.394,2 - 297
1 - 2.0,774731.4129,978889.23216,1046017.4667499999,1116781.0065000001,1210622.0235000001,1297307.4379,1565623.14,298 - 457
2 - 3.0,803650.1416,1098890.361,1193454.4764999999,1269898.471,1362983.0195,1449870.586,1686498.146,458 - 568
3 - 4.0,979832.7671,1140286.063,1214074.48775,1266524.9980000001,1361491.42575,1459722.8960000002,1585390.506,569 - 644
4 - 5.0,1103219.378,1214119.828,1287692.12,1372762.211,1457288.977,1537138.62,1814202.587,645 - 725
5 - 6.0,1131721.771,1233725.0875,1266698.611,1419578.28,1538091.105,1634914.9734999998,1716631.654,726 - 781
6 - 7.0,1142870.599,1284561.0447,1365455.2577499999,1463962.8005,1501588.59225,1587122.737,1713324.678,782 - 835
7 - 8.0,1196828.763,1296540.7310000001,1397032.4272500002,1482654.4375,1578623.1605,1634559.8775000002,1734625.167,836 - 899
8 - 9.0,1207687.49,1316558.7994,1383391.39625,1490197.8765,1563380.70025,1670500.8812000002,1801125.668,900 - 1003
9 - 10.0,1181756.504,1334372.6744000001,1412673.3487500001,1487162.6925,1549769.4510000001,1650442.1019,1822824.624,1004 - 1117
10 - 11.0,1190543.277,1327106.538,1420674.442,1501761.925,1589731.17825,1662484.7315,1838703.311,1118 - 1255
11 - 12.0,1261020.08,1343033.274,1412723.722,1482738.368,1570368.438,1662372.8904000001,1814151.216,1256 - 1358
12 - 13.0,1131676.775,1319652.6324,1412136.206,1511914.081,1604412.308,1693434.0504,1881852.243,1359 - 1475
13 - 14.0,1139729.109,1324389.5912,1377111.263,1474038.715,1585429.34625,1663500.0648,1818506.481,1476 - 1577
14 - 15.0,1163996.853,1325061.66,1386250.2264999999,1516319.841,1592117.512,1658203.36,1851161.531,1578 - 1688
15 - 16.0,1156876.316,1316024.22,1387651.0442499998,1507496.1985,1613187.67575,1685380.113,1816379.532,1689 - 1774
16 - 17.0,1249507.782,1323420.0714,1408797.607,1522665.567,1625260.464,1717391.2706,1860655.246,1775 - 1867
17 - 18.0,1285750.661,1338982.6719,1393890.4370000002,1502831.644,1602157.40075,1690548.6485000001,1846241.813,1868 - 1941
18 - 19.0,1255188.313,1317567.7052,1404348.2245,1491191.044,1597094.6,1716995.8238,2091462.787,1942 - 1996
19 - 20.0,1108225.459,1288481.4600000002,1356796.50525,1447692.2085000002,1554043.8517500001,1657785.4949999999,1857883.35,1997 - 2616
20 - 21.0,1154189.663,1311689.6147999999,1383553.884,1476165.667,1570906.0180000002,1662310.1456,1823836.04,2617 - 2695
21 - 22.0,1070253.228,1291826.9034,1355454.835,1448477.5754999998,1545927.335,1643331.6024,1940236.291,2696 - 3275
22 - 23.0,1211082.334,1298573.345,1395882.68,1486154.336,1598292.064,1703167.143,1853185.989,3276 - 3336
23 - 24.0,1189280.262,1281293.4534,1352151.54,1439701.057,1563465.074,1660126.8260000001,1866039.551,3337 - 3649
24 - 25.0,1153853.191,1312406.7318,1385210.812,1458342.26,1532436.134,1644902.0848,1812457.606,3650 - 3694
25 - 26.0,1162145.381,1280507.7441999998,1344353.6905,1432700.13,1534187.5545,1641274.46,1759246.131,3695 - 3833
26 - 27.0,1138136.491,1259467.9326,1367276.665,1475723.453,1583597.5935,1627332.0380000002,1652857.302,3834 - 3856
27 - 28.0,1190220.434,1299114.2057,1329036.394,1442859.2280000001,1602553.149,1668849.9796999998,1857552.503,3857 - 3944
28 - 29.0,1298472.984,1334225.8149,1378025.4675,1516105.6770000001,1584568.72975,1629005.5246,1659658.49,3945 - 3966
29 - 30.0,1250145.98,1296523.0825,1335709.655,1441583.896,1527824.0775,1611950.1845,1782458.712,3967 - 4022
30 - 31.0,1281539.754,1354377.8615,1400816.704,1484556.7829999998,1563091.4740000002,1630245.547,1683838.116,4023 - 4048
31 - 32.0,1197209.606,1250754.3791,1298167.3215,1417081.862,1546556.6225,1646645.3287,1830338.628,4049 - 4088
32 - 33.0,1184077.942,1209043.878,1301805.833,1437138.269,1541443.639,1630923.1936,1637132.983,4089 - 4105
33 - 34.0,1134056.578,1250148.128,1336854.055,1391483.663,1523766.226,1591775.7568,1693879.41,4106 - 4138
34 - 35.0,1231532.644,1296241.3186,1338924.5765,1437825.957,1535444.8854999999,1625959.7511999998,1666000.216,4139 - 4157
35 - 36.0,1133437.754,1219761.4919999999,1355134.0465,1458858.718,1526681.7349999999,1648374.1478,1796930.64,4158 - 4176
36 - 37.0,1208171.7,1255250.8072,1346149.19675,1478429.0995,1591429.66225,1657303.4846,1702013.613,4177 - 4194
37 - 38.0,1166808.995,1214531.4496,1348524.22,1394531.411,1495524.936,1591071.587,1614191.874,4195 - 4207
38 - 39.0,1200879.678,1261237.7874,1300987.773,1398279.607,1524505.7275,1570767.315,1627877.743,4208 - 4222
39 - 40.0,1221799.448,1344586.641,1390821.594,1496285.8730000001,1608209.77525,1616039.5969,1704853.628,4223 - 4234
40 - 41.0,1188572.071,1300080.9261999999,1399499.506,1460699.321,1514590.115,1644897.5864000001,1674540.384,4235 - 4247
41 - 42.0,1102962.774,1219977.1489,1288924.58575,1376307.858,1546147.25,1632048.323,1736005.677,4248 - 4269
42 - 43.0,1214831.899,1257178.423,1343939.9745,1439743.928,1447577.278,1498585.5576,1703693.599,4270 - 4284
43 - 44.0,1205177.698,1223250.203,1281728.681,1354468.229,1564743.2755,1677773.117,1986050.128,4285 - 4295
44 - 45.0,1147638.33,1190242.3828,1219455.017,1317640.149,1479351.403,1523021.2124,1741432.604,4296 - 4312
45 - 46.0,1021125.165,1227016.8666,1274101.81125,1415306.5685,1555436.2325,1625945.565,1754922.113,4313 - 4330
46 - 47.0,1175784.128,1193284.681,1219992.098,1331631.242,1530296.686,1672534.425,2535909.665,4331 - 4351
47 - 48.0,1203118.368,1273758.477,1346962.8185,1458113.654,1529196.43325,1577463.7482,1710622.026,4352 - 4361
48 - 49.0,813622.0671,1010169.5660999999,1207912.65525,1341148.2055,1519863.42375,1594359.0888,1696068.354,4362 - 4389
49 - 50.0,899791.1924,1070166.5604,1272301.023,1385009.204,1471422.434,1569917.3352,1679017.139,4390 - 4414
50 - 51.0,908167.9998,1116389.414,1185870.294,1302578.519,1441648.266,1520642.734,1762456.371,4415 - 4435
51 - 52.0,1070554.573,1176980.029,1272657.868,1359621.6099999999,1489535.9975,1633156.684,1929603.545,4436 - 4461
52 - 53.0,998593.2785,1197163.5731,1237280.012,1327809.6805,1384963.394,1454180.6801,1640759.053,4462 - 4493
53 - 54.0,1152848.524,1218881.7891,1265133.084,1369287.6885,1553312.8454999998,1696208.168,2280307.048,4494 - 4533
54 - 55.0,1007981.252,1141482.2019,1254254.9525000001,1343369.0814999999,1478842.379,1576349.7282,1667128.253,4534 - 4573
55 - 56.0,1104815.371,1174615.2246,1211336.1235000002,1305831.37,1407264.611,1477894.5474,1740250.707,4574 - 4616
56 - 57.0,1086421.267,1210666.3314999999,1275662.48975,1406740.402,1458843.6305,1567589.6771,1689320.662,4617 - 4650
57 - 58.0,1190900.253,1239969.5213000001,1302196.547,1351268.8059999999,1447996.3969999999,1592165.4701,1722926.634,4651 - 4682
58 - 59.0,1112732.341,1228707.0269,1247459.88925,1314848.6925,1390900.4315,1563097.9649,1670792.444,4683 - 4716
59 - 60.0,1129075.24,1166322.3101,1227793.79625,1279050.9024999999,1412386.30975,1431074.8894,1578151.854,4717 - 4756
60 - 61.0,929908.9574,1181720.462,1232879.152,1321145.234,1429307.911,1496632.2974,2007463.613,4757 - 4813
61 - 62.0,981346.9492,1137844.2772,1218442.8824999998,1288094.4045,1379488.94,1431297.7130999998,1509429.536,4814 - 4853
62 - 63.0,1054553.277,1174022.9486,1228842.991,1288172.835,1437173.76,1577644.3462,1712019.411,4854 - 4902
63 - 64.0,905640.964,1173905.9582,1234509.522,1331188.279,1433910.405,1520850.4919999999,1680396.53,4903 - 4959
64 - 65.0,1007985.877,1170950.028,1234840.4012499999,1337715.5520000001,1428818.236,1506972.614,1806971.185,4960 - 5005
65 - 66.0,1114939.159,1202636.47,1249726.04525,1364715.129,1450757.48125,1554742.1645,1904927.091,5006 - 5061
66 - 67.0,946195.9806,1168617.533,1240538.93025,1310954.3265,1421653.92225,1520701.2295,2027194.481,5062 - 5117
67 - 68.0,851865.1551,1152166.68,1192277.1395,1302111.5525,1434797.23825,1513883.1056,1685409.486,5118 - 5199
68 - 69.0,1037497.562,1171512.2436000002,1239397.71225,1341628.5405000001,1494027.8405,1546213.5949,1680821.115,5200 - 5269
69 - 70.0,743001.9113,1161869.713,1240364.318,1328500.7505,1402353.85975,1541906.726,1831639.4,5270 - 5345
70 - 71.0,1116191.18,1167627.4271,1223612.17175,1334674.0535,1453002.858,1506533.6381,1654367.802,5346 - 5419
71 - 72.0,991633.8539,1165549.6742,1231008.3745,1314362.545,1417371.775,1504495.819,1729575.339,5420 - 5486
72 - 73.0,1033249.476,1194679.9139,1248728.3415,1343483.0125000002,1416745.5795,1496726.6239999998,1644824.091,5487 - 5554
73 - 74.0,1053412.241,1147822.4647,1208252.19325,1321776.9915,1430699.92475,1524406.1771,1739988.598,5555 - 5636
74 - 75.0,1118536.611,1196525.8132,1265926.70225,1338156.5125,1454418.116,1554971.246,1727511.505,5637 - 5696
75 - 76.0,953122.7256,1168129.1356,1220550.8615,1320161.316,1442461.1985,1523880.691,2068133.597,5697 - 5759
76 - 77.0,1096754.532,1178931.518,1209842.937,1351361.856,1475531.464,1557654.9236,1882213.969,5760 - 5792
77 - 78.0,1066999.373,1212260.3838,1232893.31125,1305339.9135,1374888.22825,1513593.2545999999,1870898.654,5793 - 5820
78 - 79.0,1051604.77,1097626.9400000002,1209602.957,1269252.02,1360095.136,1441700.3616,1529196.032,5821 - 5855
79 - 80.0,1025792.343,1192771.4483999999,1240060.751,1302103.428,1366581.287,1409407.8564,1519818.927,5856 - 5882
80 - 81.0,1038109.136,1089424.6435,1209129.652,1297285.2645,1408346.4877499999,1525462.148,1622859.908,5883 - 5908
81 - 82.0,1115097.521,1152137.558,1243946.5550000002,1293199.545,1349401.148,1440361.7964,1533175.823,5909 - 5935
82 - 83.0,1172406.407,1204214.1395,1258523.66175,1341656.3484999998,1377959.25025,1437215.0069,1524508.414,5936 - 5953
83 - 84.0,1102009.353,1163344.0442,1213158.38,1319244.5159999998,1428934.28575,1523749.5774,1563734.171,5954 - 5975
84 - 85.0,1154980.598,1184763.5356,1282541.546,1303034.482,1326393.05,1386174.0019999999,1463828.682,5976 - 5984
85 - 86.0,1200457.213,1249903.119,1301016.5860000001,1419333.861,1477200.8255,1494579.764,1558520.852,5985 - 5995
86 - 87.0,1117023.231,1231737.0889,1301548.9167499999,1355078.9235,1469729.75575,1516568.9461,1568444.287,5996 - 6013
87 - 88.0,1204517.377,1212849.8882000002,1229086.591,1293262.659,1346602.499,1410476.3469999998,1421654.919,6014 - 6022
88 - 89.0,1107337.912,1208435.1037,1252731.13675,1362861.2225000001,1391276.61775,1434530.6708,1549720.58,6023 - 6032
89 - 90.0,1296927.112,1319312.2585,1344375.121,1393826.347,1492611.682,1527065.7055000002,1542397.31,6033 - 6038
90 - 91.0,1098297.785,1112065.7211,1132717.62525,1167137.4655,1201557.3057499998,1222209.2099,1235977.146,6039 - 6040
91 - 92.0,911985.4394,911985.4394,911985.4394,911985.4394,911985.4394,911985.4394,911985.4394,6041 - 6041
92 - 93.0,953178.2835,972061.6848,1000386.78675,1047595.29,1125590.682,1172387.9172,1203586.074,6042 - 6044
93 - 94.0,1115731.968,1115731.968,1115731.968,1115731.968,1115731.968,1115731.968,1115731.968,6045 - 6045
95 - 96.0,1030159.668,1033224.5022,1037821.7535,1045483.839,1201281.9885,1294760.8782000002,1357080.138,6046 - 6048
97 - 98.0,1889992.076,1889992.076,1889992.076,1889992.076,1889992.076,1889992.076,1889992.076,6049 - 6049
